ID,Source,Date Published,Pages,Title,Inventer,Filing Date,Applicant Name,Patent Number,Relevency
96,US-PGPUB,2024-10-10,10,AUTOMATIC REMOTE IGNITION BLOCK IN HIGH CRIME ZONE,Fawaz; Ali H. et al.,2023-04-06,GM GLOBAL TECHNOLOGY OPERATIONS LLC,20240336223,4.130093
97,US-PGPUB,2024-10-10,9,TELEVISION SURROUND LIGHTING,DeMerchant; Marvin et al.,2023-04-05,Sony Group Corporation,20240339057,5.7331634
98,US-PGPUB,2024-10-10,20,COMPUTERIZED SYSTEMS AND METHODS FOR AN ENERGY AWARE ADAPTIVE NETWORK,SAMPATHKUMAR; Badri Srinivasan,2023-04-04,"PLUME DESIGN, INC.",20240340787,3.438965
99,US-PGPUB,2024-10-10,13,SYSTEMS AND METHODS FOR CALIBRATING A HEADPHONE FIXTURE,OLIVE; Sean Edward,2023-04-04,"Harman International Industries, Incorporated",20240340602,5.737498
100,US-PGPUB,2024-10-10,42,SECURED TRANSFER INSTRUMENTS,Pedone; Jason et al.,2023-04-06,Truist Bank,20240338935,6.0585876
101,US-PGPUB,2024-10-10,36,METHODS FOR EXTRACTING LITHIUM FROM BRINES,LU; Peng et al.,2023-04-04,SAUDI ARABIAN OIL COMPANY,20240336491,4.501665
102,US-PGPUB,2024-10-10,25,TRANSLATION WITH AUDIO SPATIALIZATION,Westland; Joy et al.,2023-04-10,"Meta Platforms Technologies, LLC",20240340604,6.0333548
103,US-PGPUB,2024-10-10,35,CUSTOMIZED RECOMMENDATION GENERATION USING ENTERPRISE DATA ANALYSIS AND INFERENCE,FOSSE; Eivind Berg et al.,2023-04-10,"Microsoft Technology Licensing, LLC",20240338413,5.620299
104,US-PGPUB,2024-10-10,49,IMAGE-BASED DETECTION USING DISTANCE DATA,Tolley; Donald et al.,2023-04-07,"Comcast Cable Communications, LLC",20240338839,2.4653814
105,US-PGPUB,2024-10-10,15,SYSTEMS AND METHODS FOR CONTROLLING A RADIO-CONTROLLED TWO-WHEELED VEHICLE,Adams; John et al.,2023-04-10,"HORIZON HOBBY, LLC",20240335758,3.7523332
106,US-PGPUB,2024-10-10,17,SYSTEM FOR COMPONENT-LEVEL EXPOSURE ASSESSMENT IN A COMPUTING ENVIRONMENT,Philips; Darren Roy,2023-04-06,BANK OF AMERICA CORPORATION,20240340300,3.5884368
107,US-PGPUB,2024-10-10,40,SENSOR READING CORRECTION,Gouge; Brian Devin et al.,2023-04-07,Aquatic Informatics ULC,20240337486,2.310901
108,US-PGPUB,2024-10-10,41,SENSOR READING CORRECTION,Gouge; Brian Devin et al.,2023-04-07,Aquatic Informatics ULC,20240337487,2.3271985
109,US-PGPUB,2024-10-10,22,"METHOD, APPARATUS, SYSTEM, AND NON-TRANSITORY COMPUTER READABLE MEDIUM FOR PRESERVING TRADING TIME SERIES",AHLSTROM; Logan et al.,2023-04-10,"Charles Schwab &amp; Co., Inc",20240338703,6.2412987
110,US-PGPUB,2024-10-10,28,AUTOMATED FLEET-CONNECTED CLEANING AND INSPECTION SYSTEM,Ferguson; Kenneth et al.,2023-04-06,GM Cruise Holdings LLC,20240336234,2.9641507
111,US-PGPUB,2024-10-10,15,Lighting Control Assembly,Harris; John,2023-04-06,Harris; John,20240341024,6.581452
112,US-PGPUB,2024-10-10,55,ENHANCED DOPPLER DIVISION MULTIPLEXING (DDM) MULTIPLE-INPUT AND MULTIPLE-OUTPUT (MIMO) SENSING BASED ON DOPPLER SPECTRUM PUNCTURING,DUAN; Weimin et al.,2023-04-07,QUALCOMM Incorporated,20240337744,2.2130291
113,US-PGPUB,2024-10-10,50,ENHANCEMENTS TO V2X MESSAGING TO IMPROVE MISBEHAVIOR DETECTION PERFORMANCE,NARULA; Mohit et al.,2023-04-07,QUALCOMM Incorporated,20240340665,3.5776405
114,US-PGPUB,2024-10-10,46,ARTIFICIAL INTELLIGENCE MODEL DELIVERY VIA RADIO CONTROL PLANE,Esswie; Ali,2023-04-06,"Dell Products, L.P.",20240340913,6.4536448
115,US-PGPUB,2024-10-10,15,EMERGENCY RESPONSE LOCATION DETECTION,McSchooler; Jeffrey,2023-04-10,DISH WIRELESS L.L.C.,20240337485,4.1143746
116,US-PGPUB,2024-10-10,22,"SYSTEMS, APPARATUS, AND METHODS FOR MONITORING PLATE TEMPERATURE FOR SEMICONDUCTOR MANUFACTURING",CONG; Zhepeng et al.,2023-04-10,"Applied Materials, Inc.",20240337537,6.0316625
117,US-PGPUB,2024-10-10,16,NETWORK AWARE OPTIMAL ROUTE SELECTION FOR AUTONOMOUS APPLICATIONS,WAJE; Sanjay Baburao et al.,2023-04-04,T-MOBILE INNOVATIONS LLC,20240340761,4.7535615
118,US-PGPUB,2024-10-10,40,SENSOR READING CORRECTION,Gouge; Brian Devin et al.,2023-04-07,Aquatic Informatics ULC,20240337506,2.3654907
119,US-PGPUB,2024-10-10,22,WEARABLE ULTRASOUND,Aliakbari; Saeed et al.,2023-04-10,"FUJIFILM SONOSITE, INC.",20240335215,3.505097
120,US-PGPUB,2024-10-10,14,HOLLOW ELECTRICAL SUBMERSIBLE PUMP FOR UNLIMITED WELLBORE INTERVENTION,MALKI; Bandar S. et al.,2023-04-10,SAUDI ARABIAN OIL COMPANY,20240337176,3.9430845
121,US-PGPUB,2024-10-10,38,ARTIFICIAL INTELLIGENCE MODEL DELIVERY VIA RADIO DATA PLANE,Esswie; Ali,2023-04-06,"Dell Products, L.P.",20240340659,6.5043035
122,US-PGPUB,2024-10-10,13,ARTIFACT SEGMENTATION AND/OR UNIFORMITY ASSESSMENT OF A GAMMA CAMERA,Daga; Saurav et al.,2023-04-07,Siemens Medical Solutions,20240338815,3.8951457
123,US-PGPUB,2024-10-10,27,ANTENNA ACTIVATION FOR SPECTRUM ACCESS CONTROL,Soryal; Joseph,2023-04-10,"AT&amp;T Intellectual Property I, L.P.",20240340647,4.2863097
124,US-PGPUB,2024-10-10,61,Configurable Automated Redaction Of Log Data,SEIPP; KYLE et al.,2023-04-07,"PURE STORAGE, INC.",20240338476,4.5866632
125,US-PGPUB,2024-10-10,64,OPERATION LOOP FORMATION FOR ADAPTIVE POWER GRID MANAGEMENT,Sharif-Askary; Jamshid,2023-04-06,GE INFRASTRUCTURE TECHNOLOGY LLC,20240337998,3.5707045
126,US-PGPUB,2024-10-10,14,METHODS AND SYSTEMS FOR DETECTING GUNPOWDER,Wijeratne; Gupta G. K.,2023-04-07,"Toyota Motor North America, Inc.",20240337769,3.8422682
